"","REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44351301","1.58.1",239,NA,NA,NA,0
"2",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44351301","1.58.1",249,NA,NA,NA,0
"3",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44351301","1.58.1",268,NA,NA,NA,0
"4",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44351301","1.58.1",238,NA,NA,NA,0
"5",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44351301","1.58.1",341,NA,NA,NA,0
"6",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44416997","1.58.2",0.67,NA,NA,NA,2
"7",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44416997","1.58.2",0.69,NA,NA,NA,2
"8",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44416997","1.58.2",0.73,NA,NA,NA,2
"9",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44416997","1.58.2",0.64,NA,NA,NA,2
"10",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44416997","1.58.2",0.91,NA,NA,NA,2
"11",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44385748","1.58.3",65.89,NA,NA,NA,2
